hangul,consonant,unicode,hanja,meaning,id
개,ㄱ,69e9,槩,평미레 개,7aa6db0c864c49e28bfd9a23efc742a0
개,ㄱ,93a7,鎧,갑옷 개,08ac2b6a52664b3b8c21cabf744a9b3d
개,ㄱ,584f,塏,높은 땅 개,9743c7ca2b9c47bfb04308ee4434159b
개,ㄱ,5274,剴,낫 개,98e141de819b49d6aa2f042c615ae647
개,ㄱ,78d5,磕,돌 부딪치는 소리 개,801e4da1865e4e66bd2089c573672963
개,ㄱ,63e9,揩,닦을 개,25f29a01b81e4c91bb25e71e176a19ff
개,ㄱ,75a5,疥,옴 개,2cd6d1ec477842cfb20443e9c13dd5d9
개,ㄱ,95d3,闓,열 개,57f33043bb6649b796b391016d1433d5
개,ㄱ,fa3e,慨,분개할 개,c1f9d619710b44d69072eab5ecf8fe98
개,ㄱ,73a0,玠,홀 개,83379cffe3f442bda91936e74e3a3889
객,ㄱ,5ba2,客,손 객,b67fba3897ff489e9446a1ab730f2e83
객,ㄱ,5580,喀,토할 객,5737f59bd6ce43d8adffe73c0b279ef2
갱,ㄱ,66f4,更,다시 갱,99484b91d0d44114afe77ee16f4108de
갱,ㄱ,7fb9,羹,국 갱,5ad4b87d010841a6be0a93312e8ef9ee
갱,ㄱ,5751,坑,구덩이 갱,73adeb36d40a4f6a82466a7153c7546a
갱,ㄱ,8ce1,賡,이을 갱,4f97ea8ca8c94bf8a44ea56952f5da87
갱,ㄱ,7cb3,粳,메벼 갱,fd3a1dc63fa940d5916de84511ab757c
갱,ㄱ,785c,硜,돌소리 갱,164847429104484883e9f074359cc2d1
갱,ㄱ,93d7,鏗,금옥 소리 갱,f944de1885fd4af4b05b521c8b42cf89
갹,ㄱ,91b5,醵,추렴할 갹,741bbee907224f8fb1a6d6721ff5f70a
거,ㄱ,53bb,去,갈 거,48e0378e65a148a89f5d1cae8a1ad4b4
거,ㄱ,64e7,擧,들 거,28808ee2348a4e75a11ab0ec8f36e9f4
거,ㄱ,5c45,居,살 거,b4774daf026c4ec2bc3886c37b0150ff
거,ㄱ,64da,據,근거 거,03c2d023c8f1480f8934bb97aca48722
거,ㄱ,8eca,車,수레 거,fe0f6dfd422745e590fd7b2e6e7fdb22
거,ㄱ,62d2,拒,막을 거,b5b5bb574ba94e67b4e4d662134598ae
거,ㄱ,8ddd,距,상거할 거/막을 거,e8941578e7bc47cea6462f0655b9baf2
거,ㄱ,5de8,巨,클 거/어찌 거,ad37b039b49549ec80d77d27d7e7ef3f
거,ㄱ,907d,遽,급히 거,c518869931334214ac0d94ddf65172eb
거,ㄱ,6e20,渠,개천 거,0212f4e1b109454291f91f4ad238d789
거,ㄱ,5028,倨,거만할 거,68f0d71a215c40758d7a9b016ad748f6
거,ㄱ,9245,鉅,클 거/강할 거/어찌 거,27a902e4184740cdb0639c0d94a0c2a9
거,ㄱ,636e,据,근거 거,adfdd750e541499fa2cf3bd8fa658dce
거,ㄱ,795b,祛,떨 거,705c4c0d64c741d3a1399a21c12807c5
거,ㄱ,8e1e,踞,걸어앉을 거,15a965b88c2349cc8e4cd88630912ab8
거,ㄱ,88fe,裾,자락 거/의거할 거,89fb6a98f5ce4a95b3ed18fa994f4385
거,ㄱ,80e0,胠,겨드랑이 거,d8a4de4a67e44b4f93a655e2a7db3b23
거,ㄱ,88aa,袪,소매 거,6a5e484c025243d8aca1b350bf2a8ea2
거,ㄱ,8627,蘧,패랭이꽃 거,09e3a3f33e1f4821818668336bc2f0c0
거,ㄱ,92f8,鋸,톱 거,3f6c439bd1d442e4aa1cde4ba4852ee0
거,ㄱ,70ac,炬,횃불 거,c7fa928bdbe34a69b521f0cad8f3793c
거,ㄱ,8392,莒,감자 거,88b345ff7d074974a3f9c24dbb3273ac
거,ㄱ,7b65,筥,둥구미 거,86a9a68e07904c7593eafd588d73ed91
거,ㄱ,82e3,苣,상추 거/횃불 거,19b07f45b621406494a41b7c2eec6731
거,ㄱ,99cf,駏,버새 거,b35d841a46b340b8ba37c7706e38ebde
거,ㄱ,79ec,秬,검은 기장 거,c4fa6a44d1974201a51c46ea5555395f
거,ㄱ,8556,蕖,연꽃 거,722721bc26f646ecb548a9942ad2ef1f
거,ㄱ,547f,呿,벌릴 거,6bdb2d50fc284b6e8f3295eff0b6d4d0
거,ㄱ,8152,腒,날짐승 포 거,f4d1a35ba0fc43a4aaf6a28f41e1d2d9
거,ㄱ,661b,昛,밝을 거,934bc4db6d714fd79e44d258d1007357
거,ㄱ,7c67,籧,대자리 거,44e2de7ea6804db493b013ee7292e0fe
건,ㄱ,5efa,建,세울 건/엎지를 건,1da5c859e3aa46189825d2a42b7e62a1
건,ㄱ,4e7e,乾,하늘 건/마를 건,586a5194cb3349a3b3ef886435364ee1
건,ㄱ,5065,健,굳셀 건,fd09af47787c4e0ea47d5e2571fb5498
건,ㄱ,4ef6,件,물건 건,0e3b826eb2c3425ebf21a99a554d6620
건,ㄱ,5dfe,巾,수건 건,7ca03bc1f47946d59c860c5ba316bb69
건,ㄱ,8654,虔,공경할 건,84024c671fce4c3fa02a3f8f07dd3d95
건,ㄱ,9375,鍵,열쇠 건/자물쇠 건,1f2248f48c87466daf1032d848ec1c26
건,ㄱ,6106,愆,허물 건,fd1fa76e24bb4c8ba45e6e8939ac20a7
건,ㄱ,8e47,蹇,절뚝발이 건,f5a8fa97dcef421581846a17df1210d2
건,ㄱ,8171,腱,힘줄 건,ec9c4807b5c9425e956e93db6fe0211b
건,ㄱ,9a2b,騫,이지러질 건,a5c358e56bb9417fb338498878e92f65
건,ㄱ,4896,䢖,세울 건/엎지를 건,6a2054ffbde34e88bea35e674254a0a2
건,ㄱ,8b07,謇,떠듬거릴 건,4fd34d08fe30468db40bcd41619f8991
건,ㄱ,8930,褰,걷어 올릴 건,fada65d2d3a74652968da525e0f65ba5
건,ㄱ,6434,搴,빼낼 건,78d8833427cc4331bb82345971a1eb71
건,ㄱ,4e79,乹,하늘 건,5ba67a3ee9b74cf198f6bb0a70e1595e
건,ㄱ,6f27,漧,하늘 건/마를 건,cda85b8ab59a4ab3b1b67446a879b11c
건,ㄱ,6957,楗,문빗장 건,5dd26b7e90f74febb0473874b7c0cb71
건,ㄱ,97ac,鞬,동개 건,b9d41c5a33184946bf7d191baed82617
건,ㄱ,6e55,湕,물 이름 건,53d78d0518344a4b8600be8cb5138969
건,ㄱ,8e3a,踺,밟을 건,a5a84d9a644f4009bb7acebddc9f126f
건,ㄱ,63f5,揵,멜 건,03713e4be45644bf896c4e26f08d79b0
건,ㄱ,7777,睷,눈으로 셀 건,5dbe43a33b2d45048ad48b86f4d91302
건,ㄱ,728d,犍,불친소 건,c167f80cec3f491c97f0d020288eafab
걸,ㄱ,5091,傑,뛰어날 걸,e27423d0f5434b13836bf990ecd2d671
걸,ㄱ,4e5e,乞,빌 걸,8029005417204a92a1957b155ac80953
걸,ㄱ,6840,桀,홰 걸/하왕 이름 걸,b0cef882fe374cb28a0eabc8bb643a0d
걸,ㄱ,6770,杰,뛰어날 걸,91aa7e6d347d419aaa2d99ac7bdb1cb1
걸,ㄱ,6705,朅,갈 걸,a1e8b725bcaf4ea6a5d6f3deb80716b0
걸,ㄱ,4e6c,乬,걸 걸,cac6521e0aaf4c9e9cea3f3ecd0b28b1
걸,ㄱ,69a4,榤,홰 걸,71d994588c374c1ca0485b21b53eb9cc
검,ㄱ,528d,劍,칼 검,e1c2d76756be43ca8fb5972497e4be68
검,ㄱ,6aa2,檢,검사할 검,9fdd02b0e02644d0be7aec1ea25b04a4
검,ㄱ,5109,儉,검소할 검,4b8b04d4a4ed4708bd0cfd7301e2cc03
검,ㄱ,9ed4,黔,검을 검,5964ebf89afc479ca6a62ac3e58c4a12
검,ㄱ,5292,劒,칼 검,113d7e215ad74e01aad7492aa779ba1c
검,ㄱ,82a1,芡,가시연꽃 검,98d7d5e0e9c248d1b13ec2f7080e4ecc
검,ㄱ,9210,鈐,비녀장 검,705afe85c4e345938ffecc09060b02dd
검,ㄱ,77bc,瞼,눈꺼풀 검,53c29ef3f5a7433cbe169ab64ead8a2c
검,ㄱ,64bf,撿,검사할 검,b0e3f9de854b448a9ab9b0e976fad8e7
겁,ㄱ,52ab,劫,위협할 겁,5bb7a4e81809429d836b73e773ecf466
겁,ㄱ,602f,怯,겁낼 겁,f2a11983db74458bbe1622f6a3171e66
